persona_id,env_name,noise_pair,seed,step,method,method_p1,method_p2,reward_p1,reward_p2,lambda_step,distance_to_nash,avg_grad_norm_p1,avg_grad_norm_p2,avg_noise_norm_p1,avg_noise_norm_p2
ipd:cooperative:0,ipd,"0.5,0.2",0,2,ew,ew,standard,22.295403007155567,62.12609450474848,0.11618404012127041,,5.3325416909283945,4.212064669988609,1.674877265095951,0.6182061128271491
ipd:cooperative:0,ipd,"0.5,0.2",0,3,ew,ew,standard,21.459606398270385,59.1048619831406,0.10511205190671433,,5.3781275915266695,3.6134043608219555,1.5475960346917539,0.5866335782906302
ipd:cooperative:0,ipd,"0.5,0.2",0,4,ew,ew,standard,21.576703227981085,55.78521554639254,0.09622504486493763,,5.378289312954372,3.1248238153935994,1.4781640321002372,0.6405446743458236
ipd:cooperative:0,ipd,"0.5,0.2",0,5,ew,ew,standard,21.89573690343368,52.72354303541039,0.08891397050194613,,5.3496447613094995,2.7395865416918284,1.4661065455822142,0.6038620467241486
ipd:cooperative:0,ipd,"0.5,0.2",0,6,ew,ew,standard,22.325113617004153,49.82346600112905,0.08278001303808509,,5.304197287935466,2.4302701837294607,1.4880003695081345,0.606906921658509
ipd:cooperative:0,ipd,"0.5,0.2",0,7,ew,ew,standard,22.497856005664676,47.5589523347888,0.07755040492517497,,5.235129719886519,2.175638123765167,1.4905313886203486,0.6043098547798855
ipd:cooperative:0,ipd,"0.5,0.2",0,8,ew,ew,standard,22.726846285916007,45.477641576844505,0.07303188161984392,,5.152616593061509,1.962826970287187,1.4271843379131481,0.6366273876465348
ipd:cooperative:0,ipd,"0.5,0.2",0,9,ew,ew,standard,23.08480033889582,43.7944365803689,0.0690834435809882,,5.0581352669136255,1.7833885970197212,1.4858228072352093,0.622007463481049
ipd:cooperative:0,ipd,"0.5,0.2",0,0,lola,lola,standard,36.10179333941512,48.78890068286153,0.14953487812212204,,5.227969964903924,5.360245927559611,1.4475285093411665,0.4907114421278176
ipd:cooperative:0,ipd,"0.5,0.2",0,1,lola,lola,standard,36.53315515718767,36.36015602553057,0.13042371500610728,,4.693106567171862,3.3354110854385697,1.5275401243020819,0.7248797583513031
ipd:cooperative:0,ipd,"0.5,0.2",0,2,lola,lola,standard,40.04545622993189,33.839453018619075,0.11618404012127041,,3.8397575559659773,2.594427553205236,1.4661194180267332,0.6130442673003756
ipd:cooperative:0,ipd,"0.5,0.2",0,3,lola,lola,standard,44.35288300680476,32.24193479314739,0.10511205190671433,,3.4066511820893273,2.338004711415746,1.5299442943320654,0.6428047369587118
ipd:cooperative:0,ipd,"0.5,0.2",0,4,lola,lola,standard,50.30115602320488,31.15875407321155,0.09622504486493763,,3.2302844771184476,2.264235885454859,1.4066226214838917,0.669810146605563
ipd:cooperative:0,ipd,"0.5,0.2",0,5,lola,lola,standard,56.088616427394015,26.458847075662383,0.08891397050194613,,3.2906527302869795,2.107662387070143,1.4356069276651915,0.6589175242439852
ipd:cooperative:0,ipd,"0.5,0.2",0,6,lola,lola,standard,54.67702349431497,23.15165567179091,0.08278001303808509,,3.3224340511111587,1.9359391781810478,1.4465535073115985,0.6926184353479624
ipd:cooperative:0,ipd,"0.5,0.2",0,7,lola,lola,standard,46.855946889265724,24.46809621544557,0.07755040492517497,,3.1543365650223585,2.0154735152881353,1.5283419964226628,0.6859303299429858
ipd:cooperative:0,ipd,"0.5,0.2",0,8,lola,lola,standard,41.27005729496264,24.41549554433705,0.07303188161984392,,2.948627557548161,2.0298694254124947,1.5129309091008365,0.6866300409371353
ipd:cooperative:0,ipd,"0.5,0.2",0,9,lola,lola,standard,36.267873668271804,25.030587622994126,0.0690834435809882,,2.7245831058257357,2.043285862645786,1.4715836574196346,0.6745313209895147
ipd:cooperative:0,ipd,"0.5,0.2",0,0,ew_lola,ew_lola,standard,31.389680754282526,63.48975013770089,0.14953487812212204,,5.227969964903924,5.360245927559611,1.8217165999005684,0.4766579081049751
ipd:cooperative:0,ipd,"0.5,0.2",0,1,ew_lola,ew_lola,standard,25.24864408196719,62.69395722202061,0.13042371500610728,,5.243551728876203,4.719481848519205,1.4890423266476045,0.5417920226844202
ipd:cooperative:0,ipd,"0.5,0.2",0,2,ew_lola,ew_lola,standard,23.43219034322397,59.931817723774905,0.11618404012127041,,5.305384577343294,3.982258756099352,1.5951809019149303,0.6144680583205083
ipd:cooperative:0,ipd,"0.5,0.2",0,3,ew_lola,ew_lola,standard,22.613392911596357,56.84560583109328,0.10511205190671433,,5.307124182031739,3.3852037199485108,1.5625505626736573,0.557364607373031
ipd:cooperative:0,ipd,"0.5,0.2",0,4,ew_lola,ew_lola,standard,22.549202694425137,53.9421399766439,0.09622504486493763,,5.290244884565309,2.909756498190566,1.4782023480204418,0.5862739293366619
ipd:cooperative:0,ipd,"0.5,0.2",0,5,ew_lola,ew_lola,standard,22.73979533954617,51.34932697397039,0.08891397050194613,,5.219569937340511,2.537023642542611,1.5431572487977754,0.597766875804922
ipd:cooperative:0,ipd,"0.5,0.2",0,6,ew_lola,ew_lola,standard,23.4445604938035,48.44262189806323,0.08278001303808509,,5.158770613594869,2.234762560461779,1.5336394721719355,0.5948573047909502
ipd:cooperative:0,ipd,"0.5,0.2",0,7,ew_lola,ew_lola,standard,23.950201611372773,45.8565902151644,0.07755040492517497,,5.08348502579534,1.9891389962212267,1.5249926764134463,0.612281510125439
ipd:cooperative:0,ipd,"0.5,0.2",0,8,ew_lola,ew_lola,standard,24.19621348657153,44.03567023051617,0.07303188161984392,,4.983816786160453,1.7810982039418128,1.520109798907123,0.6236007597955847
ipd:cooperative:0,ipd,"0.5,0.2",0,9,ew_lola,ew_lola,standard,24.87698960606885,42.14770077638841,0.0690834435809882,,4.8696847618111425,1.6124547177399182,1.5621935740918835,0.6224275844260837
ipd:cooperative:0,ipd,"0.5,0.2",1,0,standard,standard,standard,35.47921205901572,48.86000520357328,0.14953487812212204,,5.358861021104587,5.469871472483528,1.8449790018332293,0.6696900828675411
ipd:cooperative:0,ipd,"0.5,0.2",1,1,standard,standard,standard,33.674956474417876,38.36973855725083,0.13042371500610728,,4.900670035745623,3.8462600678119276,1.5643254841940863,0.7536528280138705
ipd:cooperative:0,ipd,"0.5,0.2",1,2,standard,standard,standard,33.98021227405853,33.46650911306375,0.11618404012127041,,4.107253499833775,2.71929253335234,1.5911476683642125,0.7223886887207215
ipd:cooperative:0,ipd,"0.5,0.2",1,3,standard,standard,standard,33.454158893844905,31.19557410776343,0.10511205190671433,,3.5132813001791563,2.1912306208068006,1.5106462551781592,0.6550704670580477
ipd:cooperative:0,ipd,"0.5,0.2",1,4,standard,standard,standard,32.226891822814075,30.51547345612758,0.09622504486493763,,3.0592666854144723,1.9182738218848567,1.4657204985957022,0.6443575605041223
ipd:cooperative:0,ipd,"0.5,0.2",1,5,standard,standard,standard,32.00917877250025,29.512872337623357,0.08891397050194613,,2.71885252659617,1.7068030157730334,1.465241868407779,0.6222398280964628
ipd:cooperative:0,ipd,"0.5,0.2",1,6,standard,standard,standard,30.656161549015884,29.450776884540677,0.08278001303808509,,2.448763368181391,1.577874608507537,1.4173262182872968,0.6467312605713212
ipd:cooperative:0,ipd,"0.5,0.2",1,7,standard,standard,standard,29.649641101477695,29.955035441502908,0.07755040492517497,,2.2311666344688916,1.484302288431933,1.4991751345638966,0.6502414550670818
ipd:cooperative:0,ipd,"0.5,0.2",1,8,standard,standard,standard,29.65468859700063,29.29822458093563,0.07303188161984392,,2.061427052367491,1.3673149281561023,1.5168097367457163,0.6599401582651758
ipd:cooperative:0,ipd,"0.5,0.2",1,9,standard,standard,standard,29.0495232025553,28.853335615793803,0.0690834435809882,,1.9159370708627184,1.282695471557068,1.5492176967699085,0.6693796476727245
ipd:cooperative:0,ipd,"0.5,0.2",1,0,ew,ew,standard,31.60746289400337,64.40880950004612,0.14953487812212204,,5.358861021104587,5.469871472483528,1.1782035317295816,0.5155507836375293
ipd:cooperative:0,ipd,"0.5,0.2",1,1,ew,ew,standard,24.872801254881548,64.47589229420244,0.13042371500610728,,5.350878409000117,5.012201342594272,1.4803119445486619,0.5627914251922201
ipd:cooperative:0,ipd,"0.5,0.2",1,2,ew,ew,standard,21.805406739790563,62.52531787812175,0.11618404012127041,,5.365233081229781,4.350158680756153,1.6170721592981956,0.5843052518924222
ipd:cooperative:0,ipd,"0.5,0.2",1,3,ew,ew,standard,21.135039379543777,59.540243338503736,0.10511205190671433,,5.416076745049242,3.7098245339609646,1.502617795961688,0.5801526646623341
