game,noise_pair,noise_ratio,seed,method,method_p1,method_p2,final_reward_p1,final_reward_p2,mean_reward_p1,mean_reward_p2,final_distance_to_nash,avg_noise_norm_p1,avg_noise_norm_p2,weight_p1,weight_p2
rock_paper_scissors,"1,1",1.0,5,lola,lola,lola,0.016178901968105043,-0.016178901968105043,-0.02196159247202329,0.02196159247202329,0.6547758544274664,1.6927580916109346,1.4698362590837544,1.0,1.0
rock_paper_scissors,"1,1",1.0,5,ew_lola,ew_lola,ew_lola,0.5832823517979911,-0.5832823517979911,0.2537556629675418,-0.2537556629675418,1.231869103576409,1.5565910940831968,1.679546204674304,1.0,1.0
rock_paper_scissors,"1,1",1.0,6,standard,standard,standard,-0.24065896849996576,0.24065896849996576,0.07548508144970764,-0.07548508144970764,0.9081232838816021,1.4825605733408256,1.7026766834435871,1.0,1.0
rock_paper_scissors,"1,1",1.0,6,ew,ew,ew,0.24998256507345606,-0.24998256507345606,0.06209590053636033,-0.06209590053636033,0.9382042193717473,1.5681279796310619,1.6438413844525677,1.0,1.0
rock_paper_scissors,"1,1",1.0,6,lola,lola,lola,0.19332876457888554,-0.19332876457888554,0.05704946088349174,-0.05704946088349174,1.015843278822386,1.6303223311877364,1.6604638701470655,1.0,1.0
rock_paper_scissors,"1,1",1.0,6,ew_lola,ew_lola,ew_lola,-0.06270466197312279,0.06270466197312279,-0.02383377818674442,0.02383377818674442,0.700719334980078,1.6200943869182776,1.6336031171675542,1.0,1.0
rock_paper_scissors,"1,1",1.0,7,standard,standard,standard,0.580066954028869,-0.580066954028869,0.06374072461895974,-0.06374072461895974,1.2575516483602045,1.6920405844338966,1.4708528626805117,1.0,1.0
rock_paper_scissors,"1,1",1.0,7,ew,ew,ew,-0.058574114948243466,0.058574114948243466,-0.12274105061493153,0.12274105061493153,1.3276313488692688,1.7849200360438833,1.6163936525988476,1.0,1.0
rock_paper_scissors,"1,1",1.0,7,lola,lola,lola,0.11818649053292365,-0.11818649053292365,0.035788984749479294,-0.035788984749479294,0.6402334066153578,1.497461488880707,1.4863848673951334,1.0,1.0
rock_paper_scissors,"1,1",1.0,7,ew_lola,ew_lola,ew_lola,0.11385346725005882,-0.11385346725005882,0.0288498631012263,-0.0288498631012263,0.5278190836486536,1.5686849521855164,1.638607037809744,1.0,1.0
rock_paper_scissors,"4,1",16.0,0,standard,standard,standard,-0.04107661991555456,0.04107661991555456,-0.023144589689807128,0.023144589689807128,1.0639460752500818,6.464846650278494,1.5599020221391473,1.0,1.0
rock_paper_scissors,"4,1",16.0,0,ew,ew,ew,-0.041038178194066244,0.041038178194066244,-0.0389016268366568,0.0389016268366568,0.37941376981972685,5.771525656601071,1.6328226834528263,0.0625,1.0
